day,method,case,actual_sessions,forecast_sessions,actual_energy,forecast_energy,v0g_cost,mpc_cost,cost_saving_pct,peak_kw,energy_kwh,status_ratio_optimal,energy_gap_kwh,energy_gap_pct,sanity_energy_pass,sanity_opt_pass,sanity_pass,method_show,unserved_kwh,strict_fill_lambda_dollar_per_kwh,mpc_cost_strict,energy_kwh_strict,energy_gap_kwh_strict,energy_gap_pct_strict,sanity_energy_pass_strict,cost_saving_pct_strict
2023-07-01,LSTM,EV,68,76,711.1880000000001,729.33706827562,4248.507138640522,3014.0113475084245,29.057166455112117,80.094675,711.187999925,0.9479166666666666,-7.500011633965188e-08,-1.0545751100925756e-08,True,False,False,LSTM,7.500011633965187e-08,3.8491783862023463,3014.0113475084245,711.1880000000001,0.0,0.0,True,29.057166455112117
2023-07-01,LSTM,Charger,68,76,711.1880000000001,729.33706827562,4248.507138640522,2758.417045804394,35.073263247780275,72.262764,660.97744775,0.9479166666666666,-50.21055225000009,-7.060095537326289,False,False,False,LSTM,50.21055225000009,3.8491783862023463,2951.686418284378,711.1880000000001,0.0,0.0,True,30.524150673102383
2023-07-01,TCN,EV,68,67,711.1880000000001,585.6889132806114,4248.507138640522,2652.8961380797514,37.556980569681926,65.855336,711.18800025,0.9479166666666666,2.499998572602635e-07,3.5152429070831274e-08,True,False,False,TCN,0.0,3.8491783862023463,2652.8961380797514,711.1880000000001,0.0,0.0,True,37.556980569681926
2023-07-01,TCN,Charger,68,67,711.1880000000001,585.6889132806114,4248.507138640522,2392.002569890574,43.697809799232445,58.710571,680.3130147500001,0.9479166666666666,-30.87498525000001,-4.341325394972919,True,False,False,TCN,30.87498525000001,3.8491783862023463,2510.84589578919,711.1880000000001,0.0,0.0,True,40.90051366625138
2023-07-01,Transformer,EV,68,66,711.1880000000001,613.6562949646027,4248.507138640522,2470.187017160353,41.8575293261532,66.686875,711.1879999999999,0.9479166666666666,-2.273736754432321e-13,-3.197096624847889e-14,True,False,False,Transformer,2.2737367544323206e-13,3.8491783862023463,2470.187017160353,711.1880000000001,0.0,0.0,True,41.8575293261532
2023-07-01,Transformer,Charger,68,66,711.1880000000001,613.6562949646027,4248.507138640522,2538.929238738092,40.239496936551625,70.45556,689.17949725,0.9479166666666666,-22.008502750000048,-3.094611094394175,True,False,False,Transformer,22.008502750000048,3.8491783862023463,2623.6438918360673,711.1880000000001,0.0,0.0,True,38.24551057067057
2023-07-01,iTransformer,EV,68,74,711.1880000000001,666.3606460551084,4248.507138640522,2412.993327539281,43.20373607018549,63.760635,711.1879996,0.9479166666666666,-4.000000899395673e-07,-5.6243931272682774e-08,True,False,False,iTransformer,4.0000008993956726e-07,3.8491783862023463,2412.993327539281,711.1880000000001,0.0,0.0,True,43.20373607018549
2023-07-01,iTransformer,Charger,68,74,711.1880000000001,666.3606460551084,4248.507138640522,2337.5831738424545,44.97871610990262,63.056594,682.2426432499999,0.9479166666666666,-28.9453567500002,-4.07000072414048,True,False,False,iTransformer,28.9453567500002,3.8491783862023463,2448.9990154254715,711.1880000000001,0.0,0.0,True,42.356245723312455
2023-07-01,iT-CP90,EV,68,44,711.1880000000001,353.18522364302896,4248.507138640522,2624.933466707933,38.21515697045799,67.791613,711.1879999999999,0.9479166666666666,-2.273736754432321e-13,-3.197096624847889e-14,True,False,False,iT-CP90,2.2737367544323206e-13,3.8491783862023463,2624.933466707933,711.1880000000001,0.0,0.0,True,38.21515697045799
2023-07-01,iT-CP90,Charger,68,44,711.1880000000001,353.18522364302896,4248.507138640522,2133.621169008523,49.779508439492474,52.877565,630.9977134999999,0.9479166666666666,-80.19028650000018,-11.27553987131394,False,False,False,iT-CP90,80.19028650000018,3.8491783862023463,2442.2878865876974,711.1880000000001,0.0,0.0,True,42.51421012395417
2023-07-01,iT-CP95,EV,68,46,711.1880000000001,346.97228159252285,4248.507138640522,2659.928341358365,37.39145882170944,71.023739,711.1879999999999,0.9479166666666666,-2.273736754432321e-13,-3.197096624847889e-14,True,False,False,iT-CP95,2.2737367544323206e-13,3.8491783862023463,2659.928341358365,711.1880000000001,0.0,0.0,True,37.39145882170944
2023-07-01,iT-CP95,Charger,68,46,711.1880000000001,346.97228159252285,4248.507138640522,2458.0605086733376,42.14295919813632,64.626269,641.89210725,0.9479166666666666,-69.29589275000012,-9.743681382419291,False,False,False,iT-CP95,69.29589275000012,3.8491783862023463,2724.792761299234,711.1880000000001,0.0,0.0,True,35.864700884764446
2023-07-01,TFT-Quantile,EV,68,48,711.1880000000001,425.5352198401076,4248.507138640522,2517.3504862642485,40.747410699425714,65.556485,711.18800075,0.9479166666666666,7.499999128413037e-07,1.0545733516894318e-07,True,False,False,TFT,0.0,3.8491783862023463,2517.3504862642485,711.1880000000001,0.0,0.0,True,40.747410699425714
2023-07-01,TFT-Quantile,Charger,68,48,711.1880000000001,425.5352198401076,4248.507138640522,2243.1205596519653,47.20214686117391,59.019627,647.77339375,0.9479166666666666,-63.41460625000013,-8.916714884109425,False,False,False,TFT,63.41460625000013,3.8491783862023463,2487.214691398998,711.1880000000001,0.0,0.0,True,41.45673738481981
2023-07-01,DeepAR-Gaussian,EV,68,39,711.1880000000001,338.9657783622106,4248.507138640522,2704.7180510771955,36.33721298294258,56.668962,711.1879999999999,0.9479166666666666,-2.273736754432321e-13,-3.197096624847889e-14,True,False,False,DeepAR,2.2737367544323206e-13,3.8491783862023463,2704.7180510771955,711.1880000000001,0.0,0.0,True,36.33721298294258
2023-07-01,DeepAR-Gaussian,Charger,68,39,711.1880000000001,338.9657783622106,4248.507138640522,2333.7415280756577,45.06913953727212,50.19171,647.0965442500001,0.9479166666666666,-64.09145575000002,-9.011886554610037,False,False,False,DeepAR,64.09145575000002,3.8491783862023463,2580.440974288802,711.1880000000001,0.0,0.0,True,39.26240700363948
2023-07-01,ITCN-ChargerAware,EV,68,44,711.1880000000001,383.50722989450185,4248.507138640522,2626.796465564759,38.1713063001865,61.131916,711.1879993499999,0.9479166666666666,-6.500001745735062e-07,-9.139639231448029e-08,True,False,False,ITCN-ChargerAware,6.500001745735062e-07,3.8491783862023463,2626.796465564759,711.1880000000001,0.0,0.0,True,38.1713063001865
2023-07-01,ITCN-ChargerAware,Charger,68,44,711.1880000000001,383.50722989450185,4248.507138640522,2340.3958016478896,44.912513377656886,58.332714,659.2621932500001,0.9479166666666666,-51.92580674999999,-7.301277123629755,False,False,False,ITCN-ChargerAware,51.92580674999999,3.8491783862023463,2540.2674946761094,711.1880000000001,0.0,0.0,True,40.20799749699918
